State,Action,Q_Value
[[ 1.0540557   1.13781325 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   1.27429818 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   1.19970115 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   1.18699203 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   1.18864974 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   1.23617081 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   1.26103648 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   1.19307031 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   1.2118577  -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   1.30745241 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   1.34336949 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   1.31353069 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   1.35386833 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   1.4146511  -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   1.50472009 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   1.6959095  -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   1.6903838  -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   1.78708364 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   1.7185649  -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   1.82907901 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   1.5196395  -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   1.52184978 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   1.45056818 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   1.54947831 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   1.47874928 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   1.38536486 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   1.382602   -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   1.46769787 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   1.31297811 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   1.3057947  -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   1.29695357 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   1.19804344 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.85323942 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.84108287 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.78637838 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.84495086 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.84329315 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.76261785 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.68083741 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.5985044  -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.67862713 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.65928716 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.70791337 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.93501986 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.8217429  -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.8405303  -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.80185036 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
